timestamp,class_name,confidence,x1,y1,x2,y2
2025-09-11 16:07:27,person,0.8986667394638062,2,0,637,478
2025-09-11 16:07:27,person,0.9078707098960876,1,1,637,479
2025-09-11 16:07:27,person,0.9297109246253967,1,0,634,479
2025-09-11 16:07:27,person,0.9320851564407349,3,0,633,479
2025-09-11 16:07:27,person,0.9204856753349304,2,0,628,479
2025-09-11 16:07:28,person,0.9357064962387085,2,0,633,479
2025-09-11 16:07:28,person,0.9460310935974121,0,0,629,479
2025-09-11 16:07:28,person,0.9222216010093689,5,1,635,479
2025-09-11 16:07:28,person,0.929536759853363,0,0,631,478
2025-09-11 16:07:28,person,0.9169870018959045,0,0,631,478
2025-09-11 16:07:28,person,0.9389748573303223,8,0,634,479
2025-09-11 16:07:28,person,0.92271888256073,4,0,634,479
2025-09-11 16:07:28,person,0.9348491430282593,4,0,633,479
2025-09-11 16:07:29,person,0.9400750994682312,4,0,635,479
2025-09-11 16:07:29,person,0.9473513960838318,0,0,629,478
2025-09-11 16:07:29,person,0.9300161600112915,3,0,633,479
2025-09-11 16:07:29,person,0.9383312463760376,0,0,629,479
2025-09-11 16:07:29,person,0.9290995001792908,0,0,630,478
2025-09-11 16:07:29,person,0.9362406730651855,2,0,631,479
2025-09-11 16:07:29,person,0.9388899207115173,1,0,632,479
2025-09-11 16:07:29,person,0.9401958584785461,2,0,631,479
2025-09-11 16:07:29,person,0.9415531754493713,2,0,632,479
2025-09-11 16:07:30,person,0.9334444999694824,2,0,634,479
2025-09-11 16:07:30,person,0.9333649277687073,2,0,631,479
2025-09-11 16:07:30,person,0.9307004809379578,3,0,632,478
2025-09-11 16:07:30,person,0.9263788461685181,3,0,631,479
2025-09-11 16:07:30,laptop,0.32027173042297363,423,0,623,218
2025-09-11 16:07:30,person,0.9338938593864441,3,0,632,479
2025-09-11 16:07:30,person,0.9382657408714294,3,0,632,479
2025-09-11 16:07:30,person,0.9380166530609131,4,0,633,478
2025-09-11 16:07:30,laptop,0.4607211947441101,423,0,621,219
2025-09-11 16:07:31,person,0.9351661801338196,2,0,632,479
2025-09-11 16:07:31,laptop,0.3495273292064667,425,0,622,218
2025-09-11 16:07:31,person,0.9393873810768127,3,0,631,478
2025-09-11 16:07:31,person,0.9360659122467041,4,0,631,479
2025-09-11 16:07:31,person,0.9371954798698425,3,0,630,478
2025-09-11 16:07:31,laptop,0.3441017270088196,422,0,622,219
2025-09-11 16:07:31,person,0.944115936756134,3,0,631,478
2025-09-11 16:07:31,person,0.9381091594696045,3,0,632,478
2025-09-11 16:07:31,person,0.9447344541549683,2,0,630,478
2025-09-11 16:07:31,person,0.9452657699584961,4,0,632,479
2025-09-11 16:07:32,person,0.9442669749259949,4,0,635,479
2025-09-11 16:07:32,laptop,0.4876525402069092,421,0,622,219
2025-09-11 16:07:32,person,0.9455702900886536,4,0,633,478
2025-09-11 16:07:32,laptop,0.31735309958457947,421,0,622,219
2025-09-11 16:07:32,person,0.9464846253395081,5,0,635,479
2025-09-11 16:07:32,laptop,0.39836809039115906,422,0,623,219
2025-09-11 16:07:32,person,0.9472002387046814,3,0,632,478
2025-09-11 16:07:32,person,0.9481251239776611,5,0,633,478
2025-09-11 16:07:32,person,0.9435242414474487,0,0,627,478
2025-09-11 16:07:32,person,0.9426271915435791,6,0,632,478
2025-09-11 16:07:32,person,0.9509044289588928,3,0,630,478
2025-09-11 16:07:33,person,0.9412458539009094,3,0,629,478
2025-09-11 16:07:33,laptop,0.33536478877067566,422,0,622,219
2025-09-11 16:07:33,person,0.9441249966621399,4,0,635,478
2025-09-11 16:07:33,person,0.9441114664077759,5,0,631,478
2025-09-11 16:07:33,person,0.9420751929283142,6,0,631,478
2025-09-11 16:07:33,person,0.943697452545166,4,0,634,479
2025-09-11 16:07:33,laptop,0.30596670508384705,421,0,623,218
2025-09-11 16:07:33,person,0.9422819018363953,0,0,627,478
2025-09-11 16:07:33,person,0.941538393497467,4,0,632,479
2025-09-11 16:07:33,person,0.9330752491950989,5,0,634,478
2025-09-11 16:07:34,person,0.9414231181144714,6,0,635,479
2025-09-11 16:07:34,laptop,0.3217487037181854,423,0,623,218
2025-09-11 16:07:34,person,0.9402247071266174,6,0,631,478
2025-09-11 16:07:34,person,0.9328610301017761,5,0,634,479
2025-09-11 16:07:34,person,0.9466233849525452,6,0,634,478
2025-09-11 16:07:34,person,0.946534276008606,5,0,633,479
2025-09-11 16:07:34,person,0.9400840997695923,6,0,637,479
2025-09-11 16:07:34,person,0.9452952742576599,5,0,633,479
2025-09-11 16:07:34,person,0.9384517669677734,4,0,636,479
2025-09-11 16:07:35,person,0.944438099861145,7,0,636,478
2025-09-11 16:07:35,person,0.9308609366416931,5,0,634,479
2025-09-11 16:07:35,person,0.9341328144073486,0,0,631,478
